delay,amplitude
1.654,1.2287999999999988
1.562,1.3552000000000008
1.757,1.3120000000000003
2.266,0.9744000000000002
2.9,0.6927999999999992
3.053,0.6064000000000007
1.662,1.3240000000000007
2.886,0.7943999999999996
3.072,0.6071999999999997
2.351,0.9247999999999994
2.361,0.9120000000000017
3.128,0.6520000000000001
2.69,0.6864000000000008
1.751,1.1896000000000004
3.793,0.41520000000000046
2.325,0.8719999999999999
2.266,0.9168000000000012
2.405,0.8576000000000006
3.667,0.5032000000000005
1.642,1.3495999999999997
2.059,1.0999999999999996
1.897,1.1592000000000002
3.641,0.47600000000000176
3.896,0.38320000000000043
1.843,1.2144000000000004
2.25,0.9400000000000013
3.703,0.476799999999999
2.442,0.8304000000000027
3.206,0.5848000000000004
3.598,0.38399999999999945
3.325,0.5568
2.67,0.7376000000000005
3.722,0.4471999999999978
1.844,1.1999999999999984
2.091,0.9992000000000001
3.216,0.5591999999999988
3.148,0.5975999999999999
1.887,1.1696000000000009
1.982,1.0912000000000006
2.919,0.6655999999999995
3.334,0.46560000000000024
3.993,0.3888000000000007
3.017,0.6655999999999986
2.401,0.8992000000000004
2.883,0.7160000000000011
2.173,1.0328000000000008
3.719,0.49680000000000124
2.331,0.8656000000000006
3.39,0.5447999999999986
1.607,1.4152000000000005
3.011,0.6495999999999995
2.7,0.7984000000000009
2.382,0.9375999999999998
2.763,0.6960000000000006
3.133,0.6303999999999998
2.416,0.9256000000000002
2.337,0.9447999999999999
3.745,0.48719999999999963
2.308,0.9295999999999998
3.883,0.3968000000000007
3.609,0.43519999999999914
2.11,1.0408000000000008
3.124,0.579200000000001
1.738,1.2167999999999992
3.263,0.5599999999999996
3.464,0.48240000000000105
2.485,0.8960000000000008
2.134,1.0447999999999995
3.245,0.6192000000000002
3.303,0.5447999999999995
2.9,0.6807999999999996
2.38,0.8703999999999992
2.482,0.8903999999999996
2.323,0.936799999999999
1.755,1.2168
2.482,0.8047999999999993
2.413,0.8527999999999993
2.679,0.7336000000000018
2.446,0.8399999999999999
3.801,0.4399999999999995
2.609,0.772800000000001
2.305,0.9935999999999998
2.048,1.1600000000000001
1.891,1.1807999999999996
3.991,0.2984
3.207,0.590399999999998
2.857,0.7056000000000004
1.845,1.1616000000000009
2.791,0.772800000000001
2.73,0.7871999999999995
3.804,0.41359999999999886
3.027,0.6128
3.921,0.3791999999999982
2.69,0.7855999999999987
2.005,1.0375999999999985
2.649,0.7504
2.125,0.9728000000000012
3.099,0.5592000000000006
2.397,0.8527999999999993
2.72,0.7152000000000003
3.258,0.5384000000000011
2.23,0.9719999999999995
1.753,1.2119999999999989
1.657,1.3607999999999993
2.049,1.0568
3.446,0.5312000000000001
3.785,0.43120000000000047
2.382,0.8632000000000009
2.203,1.0168
1.988,1.1031999999999993
3.866,0.4328000000000003
3.24,0.518399999999998
2.905,0.7375999999999996
2.777,0.7831999999999999
1.621,1.3111999999999995
1.859,1.2247999999999992
2.435,0.9215999999999998
3.34,0.5328000000000008
3.842,0.4471999999999996
2.051,1.0968
2.355,0.8655999999999988
2.819,0.6504000000000003
3.095,0.6615999999999991
1.724,1.1967999999999996
3.266,0.6040000000000001
1.967,1.12
3.894,0.4112
3.457,0.508799999999999
2.254,0.911999999999999
3.029,0.6495999999999995
2.243,1.0679999999999996
3.277,0.5679999999999996
1.804,1.2279999999999998
3.112,0.6168000000000005
1.591,1.4015999999999993
2.875,0.6407999999999996
2.881,0.6464000000000016
2.106,1.016
1.683,1.3319999999999999
1.549,1.3896000000000015
3.81,0.43840000000000057
2.746,0.6656000000000004
3.242,0.5720000000000001
3.252,0.5216000000000003
3.25,0.5584000000000007
3.985,0.4039999999999999
3.032,0.6400000000000006
3.905,0.35599999999999987
1.504,1.3464
2.026,1.0248000000000008
3.954,0.3952
3.661,0.4703999999999997
1.648,1.3608000000000002
2.88,0.7295999999999996
3.952,0.3807999999999989
2.096,0.9736000000000011
2.668,0.7687999999999997
2.883,0.748800000000001
3.99,0.40640000000000054
2.391,0.8496000000000006
2.306,0.9064000000000005
2.808,0.6855999999999982
2.121,0.9967999999999995
2.264,0.9264000000000001
2.644,0.815199999999999
2.822,0.6712000000000016
2.073,1.0551999999999992
2.059,1.096799999999999
3.893,0.38720000000000176
2.276,0.9975999999999994
2.512,0.8664000000000005
1.552,1.3848000000000003
3.904,0.45840000000000014
2.163,1.0343999999999998
2.893,0.6391999999999998
1.587,1.3864000000000027
3.679,0.45199999999999996
1.746,1.2064000000000004
2.698,0.764800000000001
3.922,0.34479999999999844
2.526,0.7535999999999996
2.325,0.9080000000000013
1.583,1.3592000000000004
1.673,1.2880000000000003
2.404,0.9447999999999999
3.017,0.654399999999999
1.754,1.2511999999999999
3.186,0.5855999999999995
1.594,1.4007999999999985
3.259,0.5664000000000007
2.059,1.0384000000000002
2.719,0.7271999999999998
2.882,0.7248000000000001
3.448,0.48240000000000105
2.032,1.0519999999999996
2.816,0.6943999999999999
2.677,0.7616000000000005
3.002,0.7391999999999985
2.192,1.0056000000000012
3.53,0.4488000000000012
